n_steps,tiempo_python,tiempo_cython,speedup
50,4.3610334396362305,0.007637739181518555,570.984860309037
100,8.464854955673218,0.013150215148925781,643.7046740155196
150,12.977406740188599,0.02037191390991211,637.0244247829038
200,16.942169904708862,0.026075363159179688,649.738598127423
250,20.883883237838745,0.032689571380615234,638.8546057909707
300,25.902912139892578,0.036364078521728516,712.3214224833139
350,29.609329223632812,0.0523684024810791,565.4044771430782
400,34.38471031188965,0.052889108657836914,650.1283758503018
450,38.68445110321045,0.07192540168762207,537.8412938341338
500,41.9827299118042,0.06285667419433594,667.9120467303899
550,45.575541496276855,0.07219219207763672,631.3084585001122
600,51.11100721359253,0.07443761825561523,686.6287290127925
650,54.1720449924469,0.08107948303222656,668.1350566938765
700,58.31952881813049,0.08112573623657227,718.8782687662006
750,63.83719348907471,0.09304952621459961,686.0560830997391
800,66.65756797790527,0.10419607162475586,639.7320641603551
850,70.84167790412903,0.10692000389099121,662.5671092974769
900,75.1950330734253,0.11139178276062012,675.050090858306
950,78.71071910858154,0.14095354080200195,558.4160473070118
1000,84.83566045761108,0.15445303916931152,549.2650770349309
1050,89.14139080047607,0.12988567352294922,686.3065677888322
1100,92.93741941452026,0.14383411407470703,646.1430934684162
1150,96.99486923217773,0.14580392837524414,665.2418101009572
