n_steps,tiempo_python,tiempo_cython,speedup
100000,0.12445878982543945,0.004740238189697266,26.255809274720853
200000,0.24275851249694824,0.009370803833007812,25.905836556075716
300000,0.3830859661102295,0.014059066772460938,27.248321123321123
400000,0.4917411804199219,0.01883673667907715,26.105433695748477
500000,0.6048271656036377,0.023663759231567383,25.559217353631627
600000,0.7380080223083496,0.03020191192626953,24.435804730177775
700000,0.8751189708709717,0.033007144927978516,26.513016281186346
800000,0.9934589862823486,0.03769564628601074,26.3547407768157
900000,1.0601766109466553,0.04306316375732422,24.61910641125014
1000000,1.197652816772461,0.05033159255981445,23.79524977973151
1100000,1.3307063579559326,0.054041385650634766,24.623838599525293
1200000,1.492577075958252,0.06587505340576172,22.65769815418024
1300000,1.5843355655670166,0.06821179389953613,23.226710147814934
1400000,1.6771245002746582,0.06583690643310547,25.473926269283698
1500000,1.784501075744629,0.07377982139587402,24.186844613918016
1600000,1.9498271942138672,0.07503509521484375,25.985536349771227
1700000,2.0865867137908936,0.08260726928710938,25.25911740937428
1800000,2.184333086013794,0.09388470649719238,23.26612254019366
1900000,2.3566458225250244,0.09430623054504395,24.98929083375258
2000000,2.4448328018188477,0.09396791458129883,26.017740339481897
2100000,2.5360612869262695,0.10238289833068848,24.77036036560517
2200000,2.68646240234375,0.1120302677154541,23.979790971910386
2300000,2.7629289627075195,0.10834264755249023,25.50176707993891
2400000,2.918560743331909,0.11283421516418457,25.865919651101613
2500000,3.0029351711273193,0.11733579635620117,25.592660248464874
2600000,3.1404974460601807,0.1539294719696045,20.402184233311186
2700000,3.3378982543945312,0.1314997673034668,25.383301604568942
2800000,3.392730236053467,0.13895392417907715,24.416224702521383
2900000,3.5014045238494873,0.1389477252960205,25.199437532280122
3000000,3.645578145980835,0.14994502067565918,24.312765636055747
3100000,3.741816520690918,0.15024495124816895,24.904773768473103
3200000,3.8253514766693115,0.16733884811401367,22.859912804365482
